City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,aljezur,37.3191,-8.8033,17.939999999999998,76,99,5.22,PT,1699064195
132,coro,11.4045,-69.6734,26.689999999999998,82,71,4.28,VE,1699064008
133,meadow lake,34.8014,-106.5436,15.54000000000002,26,0,0.63,US,1699064196
134,port douglas,-16.4833,145.4667,26.879999999999995,69,78,4.53,AU,1699064197
135,aras-asan,8.8908,126.3033,27.660000000000025,83,99,1.12,PH,1699064197
136,invercargill,-46.4,168.35,12.230000000000018,85,100,5.36,NZ,1699064198
137,muisne,0.6,-80.0333,25.210000000000036,83,93,3.16,EC,1699064199
138,muleba,-1.8397,31.6544,18.33000000000004,87,100,1.99,TZ,1699064200
139,colonia,50.9333,6.95,9.420000000000016,76,75,5.66,DE,1699064200
140,thompson,55.7435,-97.8558,-8.909999999999968,73,75,2.06,CA,1699064201
141,bamboo flat,11.7,92.7167,30.05000000000001,79,40,0.51,IN,1699064202
142,huanta,-12.9333,-74.25,16.189999999999998,73,60,2.13,PE,1699064204
143,hammerfest,70.6634,23.6821,-4.75,93,48,1.54,NO,1699064204
144,anadyr,64.75,177.4833,-4.71999999999997,86,75,3.0,RU,1699064205
145,enewetak,11.3474,162.3373,27.189999999999998,82,92,6.41,MH,1699064206
146,torghay,49.6339,63.4981,8.340000000000032,77,100,3.13,KZ,1699064206
147,talnakh,69.4865,88.3972,-8.769999999999982,92,100,10.4,RU,1699064207
148,aldan,58.6031,125.3894,-17.269999999999982,91,100,5.02,RU,1699064208
149,hoemul-li,41.4339,129.67,7.78000000000003,70,100,2.36,KP,1699064209
150,tofol,5.3248,163.0078,26.879999999999995,89,100,1.54,FM,1699064209
151,tura,25.5198,90.2201,23.090000000000032,71,0,0.54,IN,1699064210
152,pankrushikha,53.8319,80.3406,-6.729999999999961,82,100,6.27,RU,1699064211
153,bethel,41.3712,-73.414,11.410000000000025,75,0,1.54,US,1699064212
154,tamanrasset,22.785,5.5228,14.950000000000045,21,0,1.54,DZ,1699064172
155,sydney,-33.8679,151.2073,21.439999999999998,77,75,4.12,AU,1699063595
156,yambol,42.4833,26.5,20.55000000000001,82,40,3.09,BG,1699064067
157,westport,41.1415,-73.3579,12.110000000000014,73,0,8.23,US,1699064163
158,sambava,-14.2667,50.1667,23.390000000000043,92,100,1.69,MG,1699064215
159,olonkinbyen,70.9221,-8.7187,1.4500000000000455,80,100,4.58,SJ,1699064216
160,antonio enes,-16.2325,39.9086,23.620000000000005,81,84,3.97,MZ,1699064217
161,broken hill,-31.95,141.4333,23.450000000000045,22,0,7.88,AU,1699064217
162,constantia,44.1833,28.65,15.390000000000043,85,74,6.44,RO,1699064218
163,ust'-ilimsk,58.0006,102.6619,-14.759999999999991,75,99,1.34,RU,1699064220
164,badger,64.8,-147.5333,-4.069999999999993,63,75,7.2,US,1699064220
165,hede,33.7681,120.2517,20.180000000000007,76,100,6.43,CN,1699064221
166,kapuskasing,49.4169,-82.4331,-2.9499999999999886,74,75,3.6,CA,1699064222
167,inhambane,-23.865,35.3833,20.200000000000045,67,84,2.86,MZ,1699064223
168,afaahiti,-17.75,-149.2833,25.930000000000007,82,78,6.33,PF,1699064223
169,puerto colombia,10.9878,-74.9547,25.05000000000001,78,46,2.26,CO,1699064224
170,alajarvi,63.0,23.8167,1.4600000000000364,97,100,5.08,FI,1699064225
171,codrington,-38.2667,141.9667,14.610000000000014,52,6,8.19,AU,1699064226
172,quang ngai,15.1167,108.8,28.0,76,12,1.14,VN,1699064226
173,atamyrat,37.8357,65.2106,13.830000000000041,32,38,1.45,TM,1699064227
174,howrah,22.5892,88.3103,25.0,83,40,2.57,IN,1699064228
175,ishigaki,24.3448,124.1572,28.07000000000005,74,75,5.66,JP,1699064229
176,hermanus,-34.4187,19.2345,15.060000000000002,90,2,5.35,ZA,1699064230
177,nadym,65.5333,72.5167,-3.5299999999999727,98,100,3.48,RU,1699064230
178,nieuw amsterdam,5.8833,-55.0833,27.79000000000002,85,42,4.64,SR,1699064231
179,geraldton,-28.7667,114.6,25.230000000000018,61,0,7.72,AU,1699064232
180,brookings,44.3114,-96.7984,2.25,81,0,1.54,US,1699064233
181,west island,-12.1568,96.8225,26.99000000000001,78,75,6.17,CC,1699064234
182,farasan,16.7022,42.1183,29.720000000000027,70,88,3.17,SA,1699064235
183,yairipok,24.6667,94.0667,18.920000000000016,68,6,0.6,IN,1699064235
184,mili,6.0815,171.735,28.24000000000001,75,66,5.29,MH,1699064236
185,gaillac,43.9016,1.8969,9.390000000000043,91,93,1.56,FR,1699064237
186,vaasa,63.096,21.6158,2.0100000000000477,97,100,4.92,FI,1699064081
187,minot air force base,48.4209,-101.3391,-0.8999999999999773,86,100,3.09,US,1699064238
188,newman,37.3138,-121.0208,20.720000000000027,58,99,0.99,US,1699064239
189,carutapera,-1.195,-46.02,25.710000000000036,87,80,3.39,BR,1699064240
190,pitimbu,-7.4706,-34.8086,26.33000000000004,82,70,4.14,BR,1699064240
191,thunder bay,48.4001,-89.3168,-3.009999999999991,68,0,3.09,CA,1699063950
192,noumea,-22.2763,166.4572,27.99000000000001,67,63,7.98,NC,1699064196
193,aspen,39.1911,-106.8175,7.0400000000000205,65,0,3.6,US,1699064242
194,tejen,37.3834,60.5054,16.0,32,100,2.04,TM,1699064243
195,pocinhos,-7.0767,-36.0611,20.83000000000004,86,41,3.37,BR,1699064244
196,mabaruma,8.2,-59.7833,25.29000000000002,89,99,1.42,GY,1699064244
197,calvinia,-31.4707,19.776,9.430000000000007,88,3,1.87,ZA,1699064245
198,rawson,-43.3002,-65.1023,12.050000000000011,56,67,5.19,AR,1699064246
199,jabor,5.921,169.6434,28.370000000000005,75,13,4.11,MH,1699064247
200,kayangel,8.0823,134.7173,29.03000000000003,74,71,4.74,PW,1699064247
201,dudinka,69.4058,86.1778,-8.539999999999964,92,100,12.52,RU,1699064248
202,maumere,-8.6199,122.2111,29.640000000000043,61,19,0.52,ID,1699064249
